Id,Name,pagesNumber,RatingDistTotal,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating
7952,Make a Joyful Noise!,96,total:4,Westminster John Knox Press,1,1984,,Carolyn Haywood,4.5
7955,"Empire (Empire, #1)",352,total:9255,Tor Books,758,2006,en-US,Orson Scott Card,3.43
7956,Treason,288,total:6845,Orb Books,337,2006,eng,Orson Scott Card,3.9
7957,"First Meetings in Ender’s Universe (Ender’s Saga, #0.5)",212,total:12024,Tor,500,2004,eng,Orson Scott Card,3.84
7958,"Sarah (Women of Genesis, #1)",341,total:10216,Forge,1006,2001,eng,Orson Scott Card,3.88
7959,"Rachel & Leah (Women of Genesis, #3)",368,total:5989,Forge Books,514,2005,en-GB,Orson Scott Card,3.85
7960,How to Write Science Fiction and Fantasy,140,total:4200,F & W Publications Inc.,66,1990,eng,Orson Scott Card,3.9
7961,Saints,608,total:2630,Forge Books,271,2001,eng,Orson Scott Card,3.53
7963,Characters and Viewpoint (Elements of Fiction Writing),182,total:4270,Writer's Digest Books,265,1999,,Orson Scott Card,4.03
7964,Magic Street,416,total:5627,Del Rey,356,2006,,Orson Scott Card,3.24
7965,Homebody,430,total:2947,HarperTorch,167,1999,eng,Orson Scott Card,3.39
7966,"Rebekah (Women of Genesis, #2)",416,total:7747,Forge,617,2012,eng,Orson Scott Card,3.84
7967,"Speaker for the Dead (Ender’s Saga, #2)",382,total:215163,Tor Books,6673,1994,eng,Orson Scott Card,4.07
7968,"Red Prophet (Tales of Alvin Maker, #2)",311,total:19446,Tor Fantasy,431,1992,en-US,Orson Scott Card,3.79
7969,"The Worthing Chronicle (Worthing, #3)",272,total:1054,Ace,33,1983,,Orson Scott Card,3.84
7971,"The Call of Earth (Homecoming, #2)",352,total:10892,Tor Books,165,1994,eng,Orson Scott Card,3.58
7972,"Shadow of the Hegemon (Shadow, #2)",13,total:69835,Macmillan Audio,19,2006,eng,Orson Scott Card,3.95
7973,Enchantment,422,total:25262,Del Rey,2210,2005,eng,Orson Scott Card,3.9
7974,"Voyage of Slaves (Flying Dutchman, #3)",356,total:2525,Philomel Books,70,2006,en-US,Brian Jacques,4.13
7975,"High Rhulain (Redwall, #18)",341,total:7502,Philomel Books,11,2005,eng,Brian Jacques,4.12
7976,"Taggerung (Redwall, #14)",438,total:14469,Firebird,193,2003,,Brian Jacques,4.13
7977,Tribes of Redwall: Mice,32,total:172,Philomel,1,2004,,Brian Jacques,4.06
7979,"The Bellmaker (Redwall, #7)",352,total:21203,Firebird,163,2004,,Brian Jacques,3.97
7980,"Pearls of Lutra (Redwall, #9)",408,total:19676,Firebird,173,2004,,Brian Jacques,4
7981,"The Long Patrol (Redwall, #10)",368,total:17787,Firebird,196,2004,,Brian Jacques,4.12
7982,"Martin the Warrior (Redwall, #6)",384,total:39333,Red Fox,5,2006,,Brian Jacques,4.14
7983,"Salamandastron (Redwall, #5)",400,total:27399,Firebird,245,2003,en-US,Brian Jacques,4.07
7984,Tribes of Redwall: Badgers,24,total:271,Philomel,0,2002,,Brian Jacques,4
7986,"Mattimeo (Redwall, #3)",448,total:31143,Red Fox,7,2006,,Brian Jacques,4.05
7987,"The Legend of Luke (Redwall, #12)",374,total:15186,Firebird,148,2005,eng,Brian Jacques,4
7988,Redwall Friend and Foe: The Guide to Redwall's Heroes and Villains,32,total:321,Philomel Books,3,2000,,Brian Jacques,3.82
7989,The Redwall Cookbook,104,total:1515,Philomel Books,70,2005,,Brian Jacques,4.22
7990,"Angel's Command (Flying Dutchman, #2)",384,total:3863,Firebird,10,2005,,Brian Jacques,4.09
7992,The Great Redwall Feast,64,total:1802,Puffin,36,2000,,Brian Jacques,3.98
7993,"Mariel of Redwall (Redwall, #4)",400,total:25216,Firebird,293,2003,,Brian Jacques,3.98
7994,"Rakkety Tam (Redwall, #17)",384,total:9583,Firebird,143,2006,,Brian Jacques,4.14
7996,"Redwall (Redwall, #1)",352,total:99202,Red Fox,2634,2006,eng,Brian Jacques,4.12
7997,"Castaways of the Flying Dutchman (Flying Dutchman, #1)",356,total:8544,Firebird,259,2003,eng,Brian Jacques,3.99
7998,"Outcast of Redwall (Redwall, #8)",368,total:18728,Firebird,190,2004,en-US,Brian Jacques,3.92
7999,"Marlfox (Redwall, #11)",400,total:15636,Firebird,160,2005,,Brian Jacques,4.01
8001,"Triss (Redwall, #15)",389,total:11531,Firebird,120,2004,eng,Brian Jacques,3.99
8004,A Redwall Winter's Tale,72,total:2437,Puffin,43,2004,en-US,Brian Jacques,4.13
8006,Little Miss Bossy Saves the Zoo,10,total:5,Putnam Publishing Group,0,1982,,Roger Hargreaves,3.4
8007,Little Miss Splendid's Colors,10,total:3,Putnam Publishing Group,0,1982,,Roger Hargreaves,4.67
8008,Little Miss Splendid and the Princess,32,total:100,Price Stern Sloan,7,2007,,Roger Hargreaves,3.71
8009,Little Miss Splendid,32,total:444,Egmont Books (UK),27,1993,,Roger Hargreaves,3.77
8011,Little Miss Naughty,32,total:1083,Egmont Books Ltd,0,2004,,Roger Hargreaves,3.98
8012,Mr. Impossible,32,total:664,Price Stern Sloan,29,1998,eng,Roger Hargreaves,3.96
8013,Mr. Christmas,40,total:254,Price Stern Sloan,17,2006,eng,Roger Hargreaves,3.67
8014,Mr. Bump,32,total:1820,Price Stern Sloan,76,1998,eng,Roger Hargreaves,4.03
8015,Mr. Happy: Coloring & Activity,16,total:20,Price Stern Sloan,0,2006,,Roger Hargreaves,3.8
8019,Little Miss Birthday,32,total:239,Price Stern Sloan,11,2007,eng,Roger Hargreaves,4
8021,Little Miss Lucky,32,total:312,Price Stern Sloan,21,1999,eng,Roger Hargreaves,3.81
8022,Little Miss Naughty and the Good Fairy,32,total:116,Price Stern Sloan,5,2007,,Roger Hargreaves,3.95
8023,Mr. Happy,36,total:2042,Egmont Children's Books,0,2004,eng,Roger Hargreaves,3.98
8024,Little Miss Helpful,32,total:707,Price Stern Sloan,32,1999,,Roger Hargreaves,3.89
8027,Roger Hargreaves - Tell Me about,22,total:5,Evans Brothers,0,1997,,John Malam,4.6
8032,Mr. Jelly and the Pirates,32,total:105,Price Stern Sloan,12,2007,eng,Roger Hargreaves,3.82
8034,Little Miss Helpful's Visit to the Doctor,10,total:3,Putnam Publishing Group,0,1982,,Roger Hargreaves,4.33
8036,Mr. Happy and the Wizard,32,total:100,Price Stern Sloan,7,2007,,Roger Hargreaves,4.04
8037,Little Miss Sunshine and the Wicked Witch,32,total:106,Price Stern Sloan,1,2007,,Roger Hargreaves,3.75
8038,Mr. Men and Little Miss Picture Dictionary,256,total:3,Cliffs Notes,0,1984,,Roger Hargreaves,5
8039,Percy Purr (Easy Peasy People),32,total:7,Random House for Young Readers,1,1989,,Roger Hargreaves,4.14
8044,Grandma Baa (Easy Peasy People),32,total:8,Random House for Young Readers,0,1989,eng,Roger Hargreaves,4.12
8045,Start to Read,24,total:11,Price Stern Sloan,0,2006,,Roger Hargreaves,3.73
8048,Bill Buzz,32,total:3,Random House for Young Readers,0,1989,eng,Roger Hargreaves,4.67
8049,Trevor Trunk (Easy Peasy People),32,total:3,Random House  for Young Readers,1,1989,,Roger Hargreaves,3.67
8050,Sam Squeak (Easy Peasy People),32,total:6,Random House for Young Readers,1,1989,,Roger Hargreaves,4.33
8051,Gary Grizzle,32,total:3,Random House for Young Readers,0,1989,eng,Roger Hargreaves,4.33
8053,Charlie Oink,32,total:3,Random House  for Young Readers,0,1989,eng,Roger Hargreaves,4.33
8054,Molly Moo,32,total:4,Random House  for Young Readers,0,1989,,Roger Hargreaves,4.5
8056,Shirly Chirp (Easy Peasy People),32,total:7,Random House  for Young Readers,0,1989,,Roger Hargreaves,4.29
8057,Hippo Leaves Home,32,total:4,Rourke Publishing (FL),0,1981,,Roger Hargreaves,4.75
8058,Start to Count,24,total:4,Price Stern Sloan,0,2006,,Roger Hargreaves,4.5
8060,Madame Je-Sais-Tout,36,total:240,Hachette,0,1997,fre,Roger Hargreaves,3.76
8062,The Poppy Seed Cakes,158,total:85,Doubleday Books,10,1964,eng,Margery Clark,4.33
8063,Margery Fish's Country Gardening,192,total:4,Acc Art Books,0,2000,,Timothy Clark,3.75
8071,Old MacDonald Had an Apartment House,32,total:96,Atheneum Books,13,2005,,Judi Barrett,4.06
8072,Which Witch is Which?,32,total:116,Atheneum Books for Young Readers,18,2001,,Judi Barrett,3.64
8073,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",32,total:126429,Atheneum Books for Young Readers,2053,1982,eng,Judi Barrett,4.16
8074,The Wind Thief,32,total:5,Atheneum Books,1,1977,eng,Judi Barrett,3.8
8075,Benjamin's 365 Birthdays,40,total:34,Atheneum Books for Young Readers,4,1992,,Judi Barrett,3.71
8076,An Apple A Day,32,total:0,Atheneum Books,0,1973,,Judi Barrett,0
8077,"Animales No Se Visten, Los (Animals Should Definitely Not Wear Clothing) with CD",32,total:3418,Live Oak Media,0,1991,eng,Judi Barrett,4.11
8084,Beauty,325,total:72526,HarperCollins,480,2005,eng,Robin McKinley,4.05
8085,"Water (Tales of Elemental Spirits, #1)",266,total:2876,Firebird,145,2004,,Robin McKinley,3.65
8086,"A Robin McKinley Collection: Spindle's End, The Hero and the Crown and The Blue Sword (Folktales #1-3)",1008,total:534,Puffin,12,2002,eng,Robin McKinley,4.39
8087,Deerskin,384,total:20055,Ace Books,1026,2005,en-US,Robin McKinley,3.89
8088,Sunshine,405,total:35681,Jove,3533,2004,eng,Robin McKinley,3.85
8089,Rose Daughter,304,total:18528,Ace,1005,1998,eng,Robin McKinley,3.77
8090,A Knot in the Grain and Other Stories,192,total:4789,HarperTrophy,151,1995,,Robin McKinley,3.77
8091,The Door in the Hedge,224,total:8982,Firebird,423,2003,eng,Robin McKinley,3.68
8093,The Stone Fey,64,total:1041,HMH Books for Young Readers,79,1998,eng,Robin McKinley,3.37
8094,Pippa Pear,32,total:10,Rourke Publishing (FL),1,1981,,Giles Reed,4.2
8103,Learn to Count with the Munch Bunch,24,total:2,Rand McNally,0,1984,,Giles Reed,5
8105,Suzie Celery,32,total:11,Rourke Publishing (FL),1,1981,,Giles Reed,4.27
8107,Learn Shapes and Colors with the Munch Bunch,24,total:3,Rand McNally,0,1984,,Giles Reed,5
8110,Wally Walnut,32,total:5,Rourke Publishing (FL),1,1981,,Giles Reed,5
8114,Penny Parsnip,32,total:6,Rourke Publishing (FL),1,1982,,Giles Reed,4.33
8127,"Anne of Green Gables (Anne of Green Gables, #1)",320,total:684282,Signet Book,14263,2003,eng,L.M. Montgomery,4.26
8129,L.M. Montgomery's Anne of Green Gables (All Aboard Reading),48,total:6819,Grosset & Dunlap,94,2001,,Jennifer Dussling,4.58
8130,Anne of Green Gables,312,total:684282,Sterling,162,2004,,L.M. Montgomery,4.26
8133,"The Annotated Anne of Green Gables (Anne of Green Gables, #1)",504,total:684282,"Oxford University Press, USA",27,1997,,L.M. Montgomery,4.26
8137,"The Road to Yesterday (Anne of Green Gables, #9)",403,total:3245,Bantam Books,117,1993,eng,L.M. Montgomery,3.84
8140,Anne of Avonlea (Anne of Green Gables #2),239,total:131208,Children's Press(CT),4,2006,,L.M. Montgomery,4.23
8144,"Anne of Green Gables / Anne of Avonlea (Anne of Green Gables, #1-2)",536,total:3974,Running Press Book Publishers,44,2000,,L.M. Montgomery,4.22
8146,The Stories of Vladimir Nabokov,685,total:6553,Vintage,184,1996,eng,Vladimir Nabokov,4.3
8147,The Gift,406,total:3146,Penguin Books,110,2001,eng,Vladimir Nabokov,4
8148,Lectures on Literature,385,total:1902,Mariner Books,86,2002,eng,Vladimir Nabokov,4.34
8149,"Novels & Memoirs 1941–1951: The Real Life of Sebastian Knight / Bend Sinister / Speak, Memory",734,total:118,Library of America,10,1996,eng,Vladimir Nabokov,4.36
8150,The American Years,800,total:280,Princeton University Press,22,1993,eng,Brian Boyd,4.32
8151,Laughter in the Dark,292,total:12164,New Directions,487,2006,eng,Vladimir Nabokov,3.97
8153,The Luzhin Defense,256,total:9277,Vintage,283,1990,eng,Vladimir Nabokov,3.95
8155,A Woman of Substance (Emma Harte Saga #1),928,total:36861,Griffin,587,2005,eng,Barbara Taylor Bradford,4.18
8158,Wisdom as a Woman of Substance,178,total:1,de Gruyter,0,2001,,Christine Elizabeth Yoder,3
8160,Woman of Substance: Profiles of Asian Women in the UK,169,total:0,"Hansib Publishing (Caribbean), Limited",0,1997,,Pushpinder Chowdhry,0
8162,"The Ravenscar Dynasty (Ravenscar, #1)",484,total:1658,St. Martin's Press,104,2006,en-US,Barbara Taylor Bradford,3.63
8164,To Be the Best  (Emma Harte Saga #3),454,total:4903,St. Martin's Press,53,2005,,Barbara Taylor Bradford,4.07
8165,Love in Another Town,240,total:1188,HarperTorch,77,2006,,Barbara Taylor Bradford,3.41
8166,Angel,495,total:1029,HarperCollins Publishers,30,2002,,Barbara Taylor Bradford,3.65
8167,Act of Will,432,total:1511,St. Martin's Griffin,40,2005,,Barbara Taylor Bradford,3.85
8171,Slug Bread and Beheaded Thistles: Amusing & Useful Techniques for Nontoxic Housekeeping and Gardening,160,total:58,Broadway Books,11,2000,,Ellen Sandbeck,3.83
8173,"Birthright: The Guide to Search and Reunion for Adoptees, Birthparents,and Adoptive...",368,total:64,Penguin Books,2,1994,,Jean A.S. Strauss,4.16
8174,Dark Birthright,429,total:168,Treat Enterprises,27,2006,eng,Jeanne Treat,3.64
8175,"Birthright: Christian, Do You Know Who You Are?",304,total:80,Multnomah,1,2005,,David C. Needham,4.22
8176,The Birthright,285,total:2376,Bethany House Publishers,5,2001,,Janette Oke,4.16
8177,Health Is Your Birthright: How to Create the Health You Deserve,352,total:8,Celestial Arts,1,2006,,Ellen Tart-Jensen,3.75
8178,"Birthright (Diablo: The Sin War, #1)",326,total:1377,Pocket Star,69,2006,eng,Richard A. Knaak,3.74
8181,Question of Proof,0,total:93,Random House Value Publishing,0,1995,,Joseph Amiel,3.67
8187,Deeds,0,total:40,Fawcett,0,1988,,Joseph Amiel,3.6
8188,Birthright,512,total:84,Fawcett,1,1986,,Joseph Amiel,3.75
8193,Stations of the Cross,56,total:1,Walther Konig Verlag,0,2003,,Lisa Ruyter,2
8196,Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,80,total:775,HarperCollins,48,1998,eng,William   Anderson,4.3
8197,Writings to Young Women from Laura Ingalls Wilder: On Wisdom and Virtues (Writings to Young Women on Laura Ingalls Wilder #1),113,total:126,Tommy Nelson,12,2006,eng,Laura Ingalls Wilder,3.97
8198,Becoming Laura Ingalls Wilder: The Woman behind the Legend,320,total:1111,University of Missouri,11,2006,,John E. Miller,4.04
8199,Writings to Young Women from Laura Ingalls Wilder: On Life as a Pioneer Woman (Writings to Young Women from Laura Ingalls Wilder #2),116,total:109,Tommy Nelson,10,2006,eng,Laura Ingalls Wilder,3.92
8200,A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,352,total:756,HarperCollins,52,2006,eng,Laura Ingalls Wilder,4.14
8202,Laura Ingalls Wilder: A Biography,256,total:4317,HarperCollins,99,2007,eng,William   Anderson,4.21
8203,"West from Home: Letters of Laura Ingalls Wilder, San Francisco, 1915  (Little House #11)",124,total:4157,Harper & Row,123,1976,eng,Laura Ingalls Wilder,3.84
8204,The Laura Ingalls Wilder Country Cookbook,160,total:263,HarperCollins Publishers,18,1997,eng,Laura Ingalls Wilder,4.1
8205,"Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family, Friends, and Neighbors (Writings to Young Women on Laura Ingalls Wilder #3)",128,total:50,Thomas Nelson,3,2006,eng,Laura Ingalls Wilder,4
8206,The Laughing Jesus: Religious Lies and Gnostic Wisdom,276,total:411,Harmony,31,2006,en-US,Tim Freke,3.96
8208,The Laughing Christ,168,total:1,Trafford Publishing,0,2007,,Ellen Wallace Douglas,5
8212,The Impostor Phenomenon: Overcoming the Fear That Haunts Your Success,209,total:32,Peachtree Publishers,4,1985,,Pauline Rose Clance,4.28
8213,The Erotic Phenomenon,248,total:139,University of Chicago Press,12,2006,eng,Jean-Luc Marion,3.99
8214,The Phenomenon of Life: Toward a Philosophical Biology,304,total:94,Northwestern University Press,9,2001,eng,Hans Jonas,4.24
8215,"The Personal Branding Phenomenon: Realize Greater Influence, Explosive Income Growth and Rapid Career Advancement by Applying the Branding Techniques of Michael, Martha & Oprah",235,total:22,Peter Montoya,2,2002,,Peter Montoya,3.36
8216,The Charismatic Phenomenon,113,total:17,Wakeman Trust,4,1988,,Peter Masters,4.06
8218,"Down to the Bonny Glen (Little House: The Martha Years, #3)",321,total:1511,HarperTrophy,39,2001,eng,Melissa Wiley,4.15
8219,The Complete Little House Nine-Book Set (Little House #1-9),2700,total:138804,HarperCollins,125,1994,,Laura Ingalls Wilder,4.34
8220,I Remember Laura: Laura Ingalls Wilder,274,total:1357,Thomas Nelson Publishers,22,1994,,Stephen W. Hines,4.17
8221,Laura: The Life of Laura Ingalls Wilder,241,total:5668,Avon,128,1977,en-GB,Donald Zochert,4.12
8222,Laura Ingalls Wilder Country,119,total:587,Harper Perennial,0,1992,,William   Anderson,4.24
8224,"A Little House Collection: The First Five Novels (Little House, #1-5)",624,total:3660,HarperCollins,3,2006,,Laura Ingalls Wilder,4.53
8225,A Little House Reader: A Collection of Writings by Laura Ingalls Wilder,196,total:219,HarperTrophy,15,2005,,Laura Ingalls Wilder,4.16
8227,Winter Days in the Big Woods,32,total:1621,HarperCollins,60,1995,eng,Laura Ingalls Wilder,4.28
8228,"The First Four Years (Little House, #9)",3,total:33512,HarperFestival,13,2006,eng,Laura Ingalls Wilder,3.89
8229,Story of Laura Ingalls Wilder: Pioneer Girl,112,total:96,Yearling,12,1992,,Megan Stine,3.96
8230,Winter on the Farm,32,total:465,Winter on the Farm (My First Little House),25,1997,eng,Laura Ingalls Wilder,4.15
8231,Walnut Grove Story (Laura Ingalls Wilder),36,total:33,Anderson Publications,1,2004,,William   Anderson,4.39
8232,The Great Debate,229,total:76,Thomas Nelson Publishers,6,1992,,Thomas L. Tedrow,3.45
8233,Summertime in the Big Woods,40,total:944,HarperCollins,31,2000,eng,Laura Ingalls Wilder,4.18
8234,Saving Graces: The Inspirational Writings of Laura Ingalls Wilder,200,total:54,B&H Publishing Group,9,1971,,Laura Ingalls Wilder,4.17
8235,"Dictionary of Dreams: Interpretation and Understanding: 3,500 Interpretations to Understand the True Meaning of Your Dreams",351,total:6,Hachette Illustrated UK,0,2003,,Didier Colin,3.5
8236,The New Dream Dictionary,446,total:6,Optima,0,1994,,Tony Crisp,3.83
8237,Russell Grant's Illustrated Dream Dictionary,144,total:190,Virgin Publishing,0,1995,,Russell Grant,3.72
8238,Ibn Seerin's Dictionary of Dreams According to Islamic Inner Traditions: According to Islamic Inner Traditions,511,total:31,Pearl Publishing House (PA),4,1991,,Muhammad M. Al-Akili,4.03
8239,Ariadne's Book of Dreams: A Dictionary of Ancient and Contemporary Symbols,304,total:12,Skylight Press (NY),0,2001,,Ariadne Green,3.33
8240,The Complete Dream Dictionary: A Bedside Guide to Knowing What Your Dreams Mean,336,total:11,Adams Media,1,2004,,Trish MacGregor,4.27
8241,Dream Dictionary: What Your Dreams Mean,120,total:10,Lawrence Teacher Publishing Group,1,2001,,Susan Magee,3.6
8244,Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,176,total:4947,Harper Trophy,89,2004,eng,Cynthia Rylant,4.05
8246,Laura Ingalls Wilder's Fairy Poems,39,total:146,Doubleday Books for Young Readers,18,1998,eng,Laura Ingalls Wilder,4.01
8247,"Constructing the Little House: Gender, Culture, and Laura Ingalls Wilder",304,total:37,University of Massachusetts Press,5,1997,eng,Ann Romines,3.7
8248,"By the Shores of Silver Lake  (Little House, #5)",357,total:66359,HarperTrophy,712,2007,,Laura Ingalls Wilder,4.18
8249,"These Happy Golden Years (Little House, #8)",7,total:64000,HarperFestival,12,2006,eng,Laura Ingalls Wilder,4.19
8251,The Story of the Ingalls,44,total:105,Anderson Publications,18,2004,,William   Anderson,4.12
8252,"Farmer Boy (Little House, #2)",357,total:53620,HarperTrophy,1318,2007,eng,Laura Ingalls Wilder,4.07
8253,"Little Town on the Prairie  (Little House, #7)",374,total:78340,HarperTrophy,665,2007,eng,Laura Ingalls Wilder,4.19
8254,"Christmas Stories (Little House Chapter Books: Laura, #10)",80,total:88,HarperCollins,7,1999,eng,Laura Ingalls Wilder,4.22
8255,My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,64,total:64,HarperCollins,6,1998,eng,Carolyn Strom Collins,3.98
8256,Christmas in the Big Woods,32,total:2238,HarperCollins,72,1997,eng,Laura Ingalls Wilder,4.2
8257,Laura Ingalls Wilder: Growing Up in the Little House,64,total:80,Puffin,15,1988,,Patricia Reilly Giff,3.56
8259,The Quantum Dream Dictionary,416,total:4,Not Avail,0,2002,,Pamela Ball,4.25
8260,Russell Grant's dream dictionary.,282,total:190,Virgin Publishing,0,1991,,Russell Grant,3.72
8261,The Dream Dictionary: Symbols and Their Interpretations,188,total:0,Book Jungle,0,2004,,Carlotta De Barsy,0
8262,Dream Dictionary,256,total:9,Lorenz Books,1,2003,,Richard  Craze,4
8265,Dream Dictionary: Everything You Need to Know to Interpret Your Dreams and Make Them Work for You,192,total:3,Thunder Bay Press,0,2003,,Antonia Beattie,4.67
8266,Children's Dream Dictionary: How to Interpret Your Children's Dreams,144,total:5,Hamlyn,0,2002,,Amanda   Cross,4.6
8267,The Definitive Dream Dictionary,348,total:2,New Holland Publishers,0,2001,,Diana Bellchambers,3.5
8268,Madam Le Marchand's Fortune Teller and Dream Dictionary,148,total:0,Hesperides Press,0,2006,,Madam Le Marchand,0
8272,Omens From Your Dreams: A Dictionary For Everyone,240,total:16,Souvenir Press,0,1991,,Philippa Waring,3.81
8274,The Dream Dictionary for the Modern Dreamer,320,total:10,Gerald Duckworth & Company,1,2004,,Tim Etchells,3.3
8276,The Complete Idiot's Guide Dream Dictionary,384,total:27,Alpha,3,2007,,Eve Adamson,3.48
8277,Last Night I Dreamt of Cosmopolitans: A Modern Girl's Dream Dictionary,176,total:4,St. Martin's Griffin,0,2005,,Josie Brown,2.75
8278,The Illustrated Bible-Based Dictionary of Dream Symbols,144,total:6,Cross House Books,0,2005,,Joe Ibojie,4.33
8280,The Dictionary of Dreams,128,total:1,Astrolog Publishing House,0,1998,,Eili Goldberg,2
8282,"The Long Winter (Little House, #6)",422,total:75069,HarperTrophy,1074,2007,eng,Laura Ingalls Wilder,4.14
8283,Dictionary of the Dreams in Homoeopathy,275,total:0,B Jain Publishers Pvt Ltd,0,2001,,Farokh J. Master,0
8284,The Watkins Dictionary of Dreams,464,total:3,Watkins,0,2007,,Mario Reading,3.33
8285,A Little House Birthday,40,total:499,HarperCollins,17,1998,eng,Laura Ingalls Wilder,4.14
8289,Laura Ingalls Wilder's Little Town: Where History and Literature Meet,224,total:49,University Press of Kansas,9,1994,,John E. Miller,3.76
8290,The Deer in the Wood,32,total:358,HarperCollins,23,1999,eng,Laura Ingalls Wilder,4.18
8292,"Laura Ingalls Wilder: An Annotated Bibliography of Critical, Biographical, and Teaching Studies",115,total:1,Greenwood,0,1997,,Jane M. Subramanian,4
8294,Laura's Little House (My First Little House Books),16,total:24,HarperCollins Publishers,1,1998,,Laura Ingalls Wilder,4.17
8295,Laura Ingalls Wilder Historic Highway Guide,151,total:7,Xlibris Corporation,1,2002,,Mike Gleue,3.86
8296,"The First Four Years  (Little House, #9)",126,total:33512,HarperTrophy,549,2007,eng,Laura Ingalls Wilder,3.89
8298,The Little House Cookbook: Frontier Foods from Laura Ingalls Wilder's Classic Stories,256,total:3534,HarperCollins,93,1989,eng,Barbara M. Walker,4.15
8299,Androgen Disorders in Women: The Most Neglected Hormone Problem,224,total:4,Hunter House Publishers,0,2000,,Theresa Cheung,3.75
8301,Better Than Sex: Chocolate Principals to Live By,182,total:1,Red Wheel,1,2005,,Theresa Cheung,4
8302,Get Lucky!: Make Your Own Opportunities,244,total:3,Newleaf,1,2003,,Theresa Cheung,4.67
8303,Amazing You: Dreams: What Are Your Dreams Trying to Tell You?,118,total:5,Hodder & Stoughton,0,2004,,Theresa Cheung,3.4
8304,Amazing You: Numerology: What Do Numbers Reveal About You?,114,total:6,Hodder & Stoughton,1,2004,,Theresa Cheung,3.67
8305,Coffee Wisdom: 7 Finely-Ground Principals for Living a Full-Bodied Life,180,total:19,Red Wheel,3,2003,,Theresa Cheung,4.16
8306,"Tea Bliss: Infuse Your Life with Health, Wisdom, and Contentment",172,total:43,Conari Press,12,2007,,Theresa Cheung,3.16
8307,The Glycemic Factor: How to Balance Your Blood Sugar,129,total:0,Sheldon Press,0,2006,,Theresa Cheung,0
8308,"Psychic Power for Teens: Get What You Want at Home, at School, and Everywhere Else",251,total:5,Adams Media Corporation,2,2005,,Theresa Cheung,3
8309,"Girl World: A Real Girl's Guide To Surviving Girl Wars, Gossip, Cliques And Boys",128,total:8,Hodder Children's Books,0,2005,,Theresa Cheung,3.62
8310,Laura Ingalls Wilder,128,total:7,Ferguson Publishing Company,1,2001,,Lucia Raatma,3.86
8311,Laura Ingalls Wilder: Pioneer and Author,32,total:17,Child's World,0,2003,,Judy Alter,3.12
8313,Laura Ingalls Wilder (Inventors and Creators),48,total:6,KidHaven Press,1,2005,,Kaye Patchett,3.67
8315,Musical Memories of Laura Ingalls Wilder,53,total:17,Hear & Learn Publications,0,1992,,William   Anderson,4.29
8316,The World's Fair,223,total:76,Thomas Nelson Publishers,3,1992,,Thomas L. Tedrow,3.68
8317,Home to the Praire,222,total:159,Scholastic Inc,1,1992,,Thomas L. Tedrow,3.77
8321,Laura Ingalls Wilder: Author of the Little House Books,46,total:23,Children's Press(CT),0,1998,,Carol Greene,4.09
8322,"Little House on the Prairie (Little House, #3)",309,total:247975,HarperTrophy,30,2007,eng,Laura Ingalls Wilder,4.19
8323,Laura Ingalls Wilder: Pioneer and Author : Biographies for Young Readers,54,total:8,Kipling Pr,1,1988,,William   Anderson,4.25
8324,Self-Esteem: The Lazy Person's Guide (Lazy Person's Guide!),128,total:1,Newleaf,0,2002,,Theresa Cheung-Francis,5
8326,Amazing You: Face & Hand Reading: Discover Their Secret Meanings!,114,total:7,Hodder & Stoughton,4,2004,,Theresa Cheung,3.57
8327,Worry: The Root of All Evil,192,total:1,Gill & Company,0,2002,,Theresa Cheung,5
8328,A Break in Your Cycle,171,total:2,Chronimed Publishing,0,1998,,Theresa Cheung,4
8333,Laura Ingalls Wilder and the American Frontier: Five Perspectives,126,total:6,University Press of America,0,2002,,Dwight M. Miller,4.17
8334,Meet Laura Ingalls Wilder,24,total:10,PowerKids Press,0,2003,,S. Ward,4.3
8335,Let the Hurricane Roar,118,total:3294,HarperTrophy,32,1985,en-US,Rose Wilder Lane,3.96
8336,"Farmer Boy Days (Little House Chapter Books: Laura, #6)",80,total:424,HarperCollins,1,1998,,Laura Ingalls Wilder,4.13
8337,"Little House in the Big Woods (Little House, #1)",198,total:221403,HarperTrophy,3514,2007,eng,Laura Ingalls Wilder,4.18
8338,Laura Ingalls Wilder: An Author's Story,24,total:8,Steck-Vaughn,2,1998,,Sarah J. Glasscock,3.75
8339,Laura Ingalls Wilder: A Storybook Life,196,total:109,Emerald Books,11,2005,,Janet Benge,4.06
8343,Teen Tarot: What the Cards Reveal About You and Your Future,280,total:7,Adams Media Corporation,1,2004,,Theresa Cheung,3
8344,PCOS And Your Fertility,288,total:69,Hay House,3,2004,,Colette Harris,3.71
8345,"The PCOS* Protection Plan: How to Cut Your Increased Risk of Diabetes, Heart Disease, Obesity, and High Blood Pressure",256,total:48,Hay House,3,2006,,Colette Harris,3.5
8346,Pregnancy Weight Management,244,total:1,Adams Media,0,2000,,Theresa Cheung,2
